,0
0,kensington
1,midtown
2,bedford-stuyvesant
3,ridgewood
4,sunset park
5,mott haven
6,greenpoint
7,east village
8,morningside heights
9,upper west side
10,south slope
11,prospect heights
12,park slope
13,williamsburg
14,gowanus
15,upper east side
16,east harlem
17,ditmars steinway
18,bushwick
19,middle village
20,fort greene
21,crown heights
22,harlem
23,hell's kitchen
24,jamaica
25,flatbush
26,clinton hill
27,long island city
28,chelsea
29,brooklyn heights
30,flatiron district
31,lower east side
32,windsor terrace
33,rockaway beach
34,chinatown
35,tribeca
36,greenwich village
37,financial district
38,washington heights
39,kips bay
40,clason point
41,eastchester
42,carroll gardens
43,west village
44,forest hills
45,murray hill
46,nolita
47,boerum hill
48,east flatbush
49,astoria
50,sunnyside
51,st. george
52,kingsbridge
53,gravesend
54,university heights
55,gramercy
56,allerton
57,richmond hill
58,east new york
59,little italy
60,soho
61,prospect-lefferts gardens
62,stuyvesant town
63,elmhurst
64,sheepshead bay
65,arrochar
66,emerson hill
67,bensonhurst
68,bayside
69,theater district
70,rego park
71,shore acres
72,woodside
73,spuyten duyvil
74,maspeth
75,briarwood
76,battery park city
77,two bridges
78,fort hamilton
79,brighton beach
80,cobble hill
81,jackson heights
82,new springville
83,longwood
84,inwood
85,flushing
86,tottenville
87,noho
88,dumbo
89,columbia st
90,kew gardens
91,cypress hills
92,mariners harbor
93,downtown brooklyn
94,east elmhurst
95,college point
96,concord
97,melrose
98,city island
99,bay ridge
100,red hook
101,vinegar hill
102,port morris
103,glendale
104,concourse
105,flatlands
106,canarsie
107,arverne
108,williamsbridge
109,queens village
110,soundview
111,woodhaven
112,parkchester
113,bronxdale
114,ozone park
115,bay terrace
116,fordham
117,norwood
118,clifton
119,claremont village
120,concourse village
121,borough park
122,fieldston
123,huguenot
124,mount hope
125,howard beach
126,wakefield
127,midwood
128,navy yard
129,brownsville
130,civic center
131,lighthouse hill
132,roosevelt island
133,unionport
134,south ozone park
135,randall manor
136,jamaica estates
137,kew gardens hills
138,bellerose
139,fresh meadows
140,morris park
141,east morrisania
142,springfield gardens
143,tremont
144,far rockaway
145,st. albans
146,corona
147,west brighton
148,manhattan beach
149,marble hill
150,dongan hills
151,belmont
152,castleton corners
153,laurelton
154,hunts point
155,great kills
156,pelham bay
157,silver lake
158,riverdale
159,morrisania
160,holliswood
161,grymes hill
162,tompkinsville
163,morris heights
164,edgemere
165,new brighton
166,pelham gardens
167,baychester
168,mill basin
169,sea gate
170,bergen beach
171,stapleton
172,richmondtown
173,cambria heights
174,dyker heights
175,throgs neck
176,olinville
177,coney island
178,rosedale
179,howland hook
180,highbridge
181,south beach
182,bath beach
183,midland beach
184,eltingville
185,oakwood
186,hollis
187,schuylerville
188,edenwald
189,north riverdale
190,mount eden
191,neponsit
192,fort wadsworth
193,westchester square
194,van nest
195,rosebank
196,woodlawn
197,new dorp
198,grant city
199,port richmond
200,country club
201,bayswater
202,willowbrook
203,douglaston
204,new dorp beach
205,todt hill
206,west farms
207,little neck
208,whitestone
209,arden heights
210,co-op city
211,jamaica hills
212,prince's bay
213,bull's head
214,castle hill
215,belle harbor
216,westerleigh
217,"chelsea, staten island"
218,gerritsen beach
219,breezy point
220,graniteville
221,woodrow
222,hollis hills
223,ellis island
224,rockaway park
225,freshkills park
226,port ivory
227,park hill
228,floral park
229,pelham islands
230,bloomfield
231,pelham bay park
232,ferry point park
233,broad channel
234,van cortlandt park
235,laguardia airport
236,marine park
237,flushing meadows corona park
238,forest park
239,green-wood cemetery
240,bronx park
241,crotona park
242,prospect park
243,central park
